ResponseId,Country,DevType,wexp_bin,salary_filtered,wexp_order,uses_ai
128,United States of America,"Developer, full-stack",,,,1.0
129,United States of America,"Developer, full-stack",,,,1.0
130,Sweden,"Developer, full-stack",20-30,,6.0,1.0
131,Ukraine,"Developer, desktop or enterprise applications",15-20,,5.0,0.0
132,Germany,Engineering manager,10-15,,4.0,1.0
133,Ukraine,"Developer, back-end",3-5,,2.0,1.0
134,United Kingdom of Great Britain and Northern Ireland,"Developer, full-stack",3-5,,2.0,0.0
135,United Kingdom of Great Britain and Northern Ireland,Educator,,,,0.0
136,Hungary,"Developer, full-stack",,,,1.0
137,United States of America,"Developer, full-stack",,,,0.0
138,Argentina,"Developer, full-stack",,,,0.0
139,Sweden,Student,,,,0.0
140,Pakistan,"Developer, full-stack",,,,0.0
141,India,DevOps specialist,,,,0.0
142,Italy,"Developer, full-stack",5-10,,3.0,1.0
143,India,,5-10,,3.0,1.0
144,Australia,Educator,,,,0.0
145,United States of America,"Developer, full-stack",5-10,,3.0,0.0
146,United States of America,"Developer, mobile",1-3,,1.0,1.0
147,United Kingdom of Great Britain and Northern Ireland,Data or business analyst,20-30,,6.0,0.0
148,United States of America,"Developer, full-stack",,,,0.0
149,United States of America,"Developer, full-stack",5-10,,3.0,0.0
150,Croatia,"Developer, full-stack",10-15,,4.0,1.0
151,Turkey,"Developer, full-stack",,,,0.0
152,Finland,"Developer, front-end",,,,0.0
153,United States of America,"Developer, full-stack",5-10,,3.0,1.0
154,United Kingdom of Great Britain and Northern Ireland,"Developer, back-end",,,,1.0
155,United Kingdom of Great Britain and Northern Ireland,"Developer, game or graphics",15-20,,5.0,1.0
156,Portugal,"Developer, full-stack",,,,1.0
157,Netherlands,"Developer, full-stack",,,,1.0
158,United States of America,"Developer, full-stack",3-5,,2.0,1.0
159,Sri Lanka,"Developer, full-stack",5-10,,3.0,1.0
160,United States of America,"Developer, back-end",3-5,,2.0,1.0
161,Netherlands,DevOps specialist,1-3,,1.0,0.0
162,Latvia,"Developer, full-stack",5-10,,3.0,1.0
163,Sri Lanka,"Developer, full-stack",5-10,,3.0,1.0
164,Portugal,"Developer, full-stack",15-20,,5.0,0.0
165,India,"Developer, full-stack",,,,1.0
166,United States of America,"Developer, full-stack",15-20,,5.0,1.0
167,United Kingdom of Great Britain and Northern Ireland,"Developer, full-stack",,,,1.0
168,China,Student,,,,1.0
169,Singapore,"Developer, front-end",5-10,,3.0,1.0
170,China,"Developer, QA or test",20-30,,6.0,0.0
171,Lebanon,Student,,,,1.0
172,United States of America,Security professional,,,,0.0
173,Romania,"Developer, full-stack",,,,1.0
174,Philippines,"Developer, back-end",1-3,,1.0,1.0
175,United Kingdom of Great Britain and Northern Ireland,Student,,,,0.0
176,United States of America,"Developer, full-stack",3-5,,2.0,1.0
177,United States of America,"Developer, full-stack",15-20,,5.0,0.0
178,Spain,Research & Development role,1-3,,1.0,1.0
179,Germany,Other (please specify):,,,,1.0
180,United Kingdom of Great Britain and Northern Ireland,Other (please specify):,,,,0.0
181,Portugal,"Developer, full-stack",5-10,,3.0,1.0
182,Poland,Other (please specify):,,,,0.0
183,United States of America,"Developer, back-end",5-10,,3.0,1.0
184,Canada,"Developer, full-stack",,,,0.0
185,Hungary,"Developer, full-stack",,,,1.0
186,France,"Developer, full-stack",,,,0.0
187,Russian Federation,Data or business analyst,1-3,,1.0,1.0
188,United States of America,DevOps specialist,,,,1.0
189,Canada,Engineering manager,5-10,,3.0,0.0
190,Czech Republic,"Developer, full-stack",,,,0.0
191,Canada,"Developer, back-end",30+,,7.0,0.0
192,Bulgaria,"Developer, back-end",20-30,,6.0,1.0
193,Bulgaria,"Developer, full-stack",,,,0.0
194,Portugal,Engineering manager,10-15,,4.0,1.0
195,United Kingdom of Great Britain and Northern Ireland,Research & Development role,,,,0.0
196,India,Product manager,,,,0.0
197,Germany,Academic researcher,,,,1.0
198,Portugal,Research & Development role,,,,0.0
199,Switzerland,"Developer, full-stack",,,,1.0
200,India,"Senior Executive (C-Suite, VP, etc.)",20-30,,6.0,0.0
201,South Africa,"Developer, front-end",,,,1.0
202,United States of America,"Developer, back-end",,,,1.0
203,Germany,Student,,,,1.0
204,United States of America,Student,,,,0.0
205,United States of America,"Developer, full-stack",10-15,,4.0,1.0
206,Germany,Data scientist or machine learning specialist,3-5,,2.0,0.0
207,Lithuania,"Developer, full-stack",,,,0.0
208,France,DevOps specialist,,,,1.0
209,Netherlands,"Developer, full-stack",3-5,,2.0,0.0
210,United States of America,Data or business analyst,5-10,,3.0,1.0
211,France,DevOps specialist,,,,0.0
212,United Kingdom of Great Britain and Northern Ireland,"Developer, back-end",,,,0.0
213,Viet Nam,"Developer, AI",3-5,,2.0,1.0
214,Ireland,"Developer, full-stack",,,,1.0
215,Dominican Republic,Research & Development role,20-30,,6.0,0.0
216,United States of America,"Developer, desktop or enterprise applications",5-10,,3.0,1.0
217,Indonesia,"Developer, game or graphics",,,,1.0
218,Brazil,"Developer, back-end",10-15,,4.0,1.0
219,France,"Developer, back-end",,,,1.0
220,India,Student,,,,1.0
221,Germany,"Developer, mobile",15-20,,5.0,0.0
222,Viet Nam,Engineering manager,,,,0.0
223,France,"Developer, full-stack",,,,1.0
224,United Kingdom of Great Britain and Northern Ireland,"Developer, back-end",5-10,,3.0,1.0
225,United Kingdom of Great Britain and Northern Ireland,Other (please specify):,,,,0.0
226,Germany,"Developer, full-stack",5-10,,3.0,0.0
227,Germany,"Developer, full-stack",10-15,,4.0,0.0
228,United States of America,Other (please specify):,,,,1.0
229,Ireland,"Developer, game or graphics",20-30,,6.0,1.0
230,United States of America,"Developer, full-stack",,,,0.0
231,Serbia,"Developer, AI",3-5,,2.0,0.0
232,India,Scientist,,,,1.0
233,Ukraine,"Developer, mobile",5-10,,3.0,0.0
234,Bulgaria,"Developer, full-stack",,,,0.0
235,India,"Developer, full-stack",,,,0.0
236,Croatia,"Developer, desktop or enterprise applications",,,,0.0
237,Romania,"Developer, back-end",10-15,,4.0,1.0
238,Poland,"Developer, full-stack",10-15,,4.0,0.0
239,Kosovo,"Developer, full-stack",,,,1.0
240,Australia,"Developer, mobile",,,,0.0
241,Romania,Designer,,,,0.0
242,United States of America,"Developer, back-end",20-30,,6.0,0.0
243,Morocco,"Developer, full-stack",3-5,,2.0,1.0
244,India,"Developer, full-stack",,,,1.0
245,France,"Developer, embedded applications or devices",3-5,,2.0,1.0
246,Germany,Research & Development role,20-30,,6.0,0.0
247,Netherlands,Student,,,,1.0
248,Greece,Student,,,,0.0
249,United States of America,"Developer, full-stack",20-30,,6.0,1.0
250,Taiwan,Academic researcher,1-3,,1.0,0.0
251,United States of America,"Developer, mobile",,,,0.0
252,United States of America,"Developer, embedded applications or devices",15-20,,5.0,0.0
253,Sweden,"Engineer, site reliability",30+,,7.0,0.0
254,Switzerland,"Developer, full-stack",15-20,,5.0,1.0
255,France,"Developer, back-end",,,,0.0
256,Brazil,Other (please specify):,15-20,,5.0,0.0
257,France,"Developer, full-stack",5-10,,3.0,0.0
258,Georgia,"Developer, back-end",,,,0.0
259,Brazil,Engineering manager,,,,1.0
260,Netherlands,Other (please specify):,,,,0.0
261,France,"Developer, full-stack",10-15,,4.0,0.0
262,Sweden,"Developer, full-stack",3-5,,2.0,1.0
263,Austria,Educator,,,,1.0
264,United States of America,"Developer, full-stack",,,,0.0
265,United States of America,"Developer, back-end",,,,0.0
266,United States of America,"Developer, QA or test",5-10,,3.0,0.0
267,Austria,"Developer, back-end",5-10,,3.0,1.0
268,Turkey,,,,,0.0
269,United States of America,"Developer, front-end",,,,0.0
270,United Kingdom of Great Britain and Northern Ireland,"Engineer, site reliability",5-10,,3.0,0.0
271,Ukraine,"Developer, back-end",10-15,,4.0,1.0
272,Germany,DevOps specialist,,,,1.0
273,Lithuania,"Developer, front-end",10-15,,4.0,0.0
274,United States of America,"Developer, back-end",20-30,,6.0,0.0
275,Russian Federation,"Developer, front-end",3-5,,2.0,1.0
276,United Kingdom of Great Britain and Northern Ireland,"Developer, full-stack",10-15,,4.0,1.0
277,San Marino,Cloud infrastructure engineer,1-3,,1.0,1.0
278,Indonesia,Student,,,,1.0
279,United States of America,"Developer, front-end",,,,0.0
280,United States of America,"Developer, full-stack",20-30,,6.0,0.0
281,Switzerland,"Developer, back-end",,,,1.0
282,Poland,"Developer, full-stack",3-5,,2.0,0.0
283,United States of America,Student,,,,0.0
284,Tunisia,"Developer, full-stack",3-5,,2.0,0.0
285,United Kingdom of Great Britain and Northern Ireland,"Developer, front-end",,,,0.0
286,India,DevOps specialist,1-3,,1.0,1.0
287,Germany,"Developer, full-stack",20-30,,6.0,0.0
288,Canada,"Developer, back-end",15-20,,5.0,0.0
289,Poland,Developer Experience,20-30,,6.0,1.0
290,United States of America,Student,,,,0.0
291,Romania,"Developer, full-stack",20-30,,6.0,0.0
292,Greece,"Developer, full-stack",5-10,,3.0,0.0
293,United States of America,DevOps specialist,30+,,7.0,0.0
294,Germany,"Developer, front-end",1-3,,1.0,1.0
295,Tunisia,Project manager,,,,0.0
296,India,Student,,,,1.0
297,Turkey,"Developer, full-stack",1-3,,1.0,1.0
298,Russian Federation,Research & Development role,,,,1.0
299,Bangladesh,Data scientist or machine learning specialist,3-5,,2.0,1.0
300,United Kingdom of Great Britain and Northern Ireland,"Developer, full-stack",20-30,,6.0,1.0
301,Japan,"Developer, back-end",,,,0.0
302,Canada,"Developer, full-stack",,,,0.0
303,Nigeria,"Developer, full-stack",1-3,,1.0,1.0
304,France,DevOps specialist,20-30,,6.0,1.0
305,Switzerland,Security professional,,,,0.0
306,Poland,DevOps specialist,,,,0.0
307,United States of America,,1-3,,1.0,1.0
308,India,Student,,,,0.0
309,United States of America,"Developer, mobile",,,,1.0
310,United States of America,"Developer, desktop or enterprise applications",5-10,,3.0,1.0
311,Ukraine,"Developer, back-end",10-15,,4.0,1.0
312,Ukraine,"Developer, back-end",,,,1.0
313,United States of America,"Developer, AI",20-30,,6.0,0.0
314,Canada,"Senior Executive (C-Suite, VP, etc.)",,,,1.0
315,Germany,Engineering manager,10-15,,4.0,1.0
316,United States of America,"Developer, QA or test",,,,0.0
317,Brazil,"Developer, full-stack",,,,1.0
318,Bangladesh,"Developer, back-end",5-10,,3.0,1.0
319,Liechtenstein,"Developer, full-stack",,,,1.0
320,Portugal,"Developer, full-stack",5-10,,3.0,1.0
321,Denmark,"Developer, full-stack",,,,0.0
322,Canada,Engineering manager,20-30,,6.0,0.0
323,India,"Developer, full-stack",5-10,,3.0,0.0
324,Ukraine,"Developer, full-stack",3-5,,2.0,1.0
325,France,"Developer, full-stack",<1,,0.0,0.0
326,Germany,"Developer, full-stack",,,,0.0
327,Switzerland,"Developer, back-end",,,,1.0
328,United States of America,DevOps specialist,,,,0.0
329,Republic of North Macedonia,,,,,1.0
330,Spain,"Developer, front-end",15-20,,5.0,0.0
331,United States of America,"Developer, full-stack",3-5,,2.0,0.0
332,Russian Federation,"Developer, embedded applications or devices",,,,1.0
333,United States of America,"Developer, desktop or enterprise applications",15-20,,5.0,0.0
334,Switzerland,"Developer, embedded applications or devices",5-10,,3.0,0.0
335,Pakistan,Student,,,,1.0
336,Italy,,,,,1.0
337,Italy,"Developer, full-stack",,,,1.0
338,United Kingdom of Great Britain and Northern Ireland,Other (please specify):,,,,1.0
339,United States of America,"Developer, full-stack",20-30,,6.0,1.0
340,Sweden,"Developer, embedded applications or devices",10-15,,4.0,0.0
341,Pakistan,"Developer, full-stack",10-15,,4.0,1.0
342,United States of America,"Developer, full-stack",20-30,,6.0,1.0
343,Portugal,"Developer, front-end",,,,1.0
344,United States of America,Data or business analyst,,,,1.0
345,United States of America,Data scientist or machine learning specialist,30+,,7.0,1.0
346,Germany,"Developer, back-end",,,,1.0
347,Viet Nam,"Developer, back-end",15-20,,5.0,1.0
348,United Kingdom of Great Britain and Northern Ireland,"Developer, back-end",15-20,,5.0,0.0
349,Germany,Student,,,,0.0
350,United Kingdom of Great Britain and Northern Ireland,Cloud infrastructure engineer,,,,0.0
351,United States of America,Engineering manager,15-20,,5.0,1.0
352,India,"Developer, front-end",10-15,,4.0,1.0
353,France,"Developer, full-stack",30+,,7.0,0.0
354,France,"Developer, mobile",,,,1.0
355,Belgium,"Developer, back-end",,,,1.0
356,United States of America,Student,,,,1.0
357,United States of America,"Developer, embedded applications or devices",15-20,,5.0,1.0
358,Romania,"Developer, full-stack",,,,1.0
359,United Kingdom of Great Britain and Northern Ireland,"Developer, full-stack",,,,1.0
360,United States of America,"Senior Executive (C-Suite, VP, etc.)",,,,0.0
361,Russian Federation,"Developer, desktop or enterprise applications",3-5,,2.0,0.0
362,United States of America,Student,,,,1.0
363,United States of America,"Developer, full-stack",20-30,,6.0,0.0
364,Brazil,"Developer, back-end",,,,1.0
365,Australia,"Developer, full-stack",20-30,,6.0,0.0
366,Germany,"Developer, full-stack",,,,0.0
367,United Kingdom of Great Britain and Northern Ireland,"Developer, full-stack",15-20,,5.0,1.0
368,United States of America,Academic researcher,,,,1.0
369,Spain,"Developer, full-stack",10-15,,4.0,0.0
370,Ukraine,"Developer, desktop or enterprise applications",,,,1.0
371,Ecuador,"Developer, front-end",10-15,,4.0,0.0
372,Turkey,Other (please specify):,15-20,,5.0,1.0
373,United Kingdom of Great Britain and Northern Ireland,"Developer, full-stack",5-10,,3.0,0.0
374,Mexico,"Developer, front-end",1-3,,1.0,1.0
375,Austria,Academic researcher,,30074.0,,0.0
376,Germany,Student,,,,1.0
377,France,"Developer, desktop or enterprise applications",,,,1.0
378,Brazil,"Developer, full-stack",,,,1.0
379,Greece,"Developer, full-stack",30+,,7.0,1.0
380,Turkey,Data scientist or machine learning specialist,5-10,91295.0,3.0,1.0
381,United States of America,Data or business analyst,15-20,,5.0,0.0
382,France,"Developer, full-stack",15-20,,5.0,0.0
383,India,"Developer, back-end",,,,0.0
384,Italy,"Developer, embedded applications or devices",20-30,,6.0,1.0
385,United States of America,"Developer, full-stack",10-15,,4.0,1.0
386,France,"Developer, back-end",,53703.0,,0.0
387,France,Engineering manager,10-15,,4.0,1.0
388,France,"Developer, desktop or enterprise applications",20-30,,6.0,0.0
389,Spain,Blockchain,,,,1.0
390,United States of America,Student,5-10,110000.0,3.0,1.0
391,Germany,"Developer, full-stack",,,,1.0
392,India,DevOps specialist,5-10,,3.0,1.0
393,United Kingdom of Great Britain and Northern Ireland,Engineering manager,15-20,161044.0,5.0,1.0
394,Bangladesh,"Developer, desktop or enterprise applications",15-20,,5.0,0.0
395,India,"Developer, front-end",3-5,,2.0,1.0
396,United Kingdom of Great Britain and Northern Ireland,Other (please specify):,,121018.0,,1.0
397,Algeria,"Developer, full-stack",,,,1.0
398,United States of America,Engineering manager,30+,,7.0,0.0
399,United States of America,"Developer, full-stack",30+,195000.0,7.0,0.0
400,Ukraine,"Developer, back-end",,,,1.0
401,Malaysia,Student,,,,1.0
402,Italy,"Developer, back-end",5-10,,3.0,0.0
403,Serbia,"Developer, QA or test",20-30,,6.0,0.0
404,Bulgaria,"Developer, full-stack",,44586.0,,0.0
405,Albania,DevOps specialist,20-30,,6.0,0.0
406,Italy,"Developer, full-stack",20-30,,6.0,0.0
407,Israel,"Developer, full-stack",3-5,,2.0,1.0
408,India,"Developer, full-stack",1-3,,1.0,1.0
409,Spain,"Developer, desktop or enterprise applications",15-20,,5.0,1.0
410,France,Academic researcher,,57999.0,,1.0
411,United States of America,"Developer, full-stack",,,,0.0
412,Italy,Research & Development role,,,,0.0
413,United States of America,Product manager,10-15,,4.0,1.0
414,Romania,"Developer, mobile",,,,1.0
415,United Kingdom of Great Britain and Northern Ireland,"Developer, back-end",,184712.0,,0.0
416,Greece,"Developer, full-stack",15-20,79481.0,5.0,0.0
417,Brazil,"Developer, back-end",15-20,170000.0,5.0,1.0
418,Germany,Academic researcher,1-3,29000.0,1.0,0.0
419,Philippines,Engineering manager,,,,1.0
420,United Kingdom of Great Britain and Northern Ireland,"Developer, full-stack",,,,0.0
421,Portugal,Student,,,,1.0
422,United Kingdom of Great Britain and Northern Ireland,"Developer, full-stack",5-10,,3.0,0.0
423,India,"Developer, mobile",5-10,,3.0,1.0
424,Italy,"Developer, full-stack",3-5,66592.0,2.0,1.0
425,Germany,"Developer, full-stack",30+,85925.0,7.0,0.0
426,United Kingdom of Great Britain and Northern Ireland,"Developer, front-end",15-20,124840.0,5.0,1.0
427,Ukraine,"Developer, embedded applications or devices",3-5,50000.0,2.0,1.0
428,Ukraine,"Developer, back-end",,,,1.0
429,United States of America,"Engineer, site reliability",15-20,,5.0,1.0
430,Sweden,"Developer, full-stack",15-20,,5.0,1.0
431,United States of America,Student,,,,1.0
432,United States of America,"Developer, full-stack",20-30,85000.0,6.0,0.0
433,United States of America,"Developer, full-stack",20-30,160000.0,6.0,0.0
434,United States of America,"Developer, full-stack",15-20,,5.0,1.0
435,Switzerland,"Developer, AI",,,,1.0
436,India,"Developer, desktop or enterprise applications",1-3,,1.0,1.0
437,Italy,"Developer, full-stack",10-15,,4.0,1.0
438,Italy,"Developer, full-stack",,,,0.0
439,United States of America,Research & Development role,,,,0.0
440,India,Student,,,,0.0
441,United States of America,"Developer, front-end",,110000.0,,1.0
442,Turkey,Academic researcher,20-30,,6.0,1.0
443,United States of America,Engineering manager,,190000.0,,0.0
444,United Kingdom of Great Britain and Northern Ireland,Other (please specify):,20-30,161783.0,6.0,1.0
445,United Kingdom of Great Britain and Northern Ireland,"Developer, mobile",10-15,146496.0,4.0,1.0
446,Russian Federation,"Developer, full-stack",,12773.0,,1.0
447,Germany,"Developer, full-stack",10-15,69814.0,4.0,1.0
448,United States of America,"Developer, full-stack",10-15,115000.0,4.0,0.0
449,United Kingdom of Great Britain and Northern Ireland,Engineering manager,,,,0.0
450,United Kingdom of Great Britain and Northern Ireland,"Senior Executive (C-Suite, VP, etc.)",10-15,,4.0,0.0
451,Azerbaijan,Academic researcher,,,,1.0
452,South Africa,"Developer, full-stack",10-15,64570.0,4.0,1.0
453,Chile,"Developer, full-stack",1-3,,1.0,1.0
454,United Kingdom of Great Britain and Northern Ireland,"Developer, full-stack",30+,,7.0,0.0
455,United Kingdom of Great Britain and Northern Ireland,"Developer, full-stack",20-30,,6.0,0.0
456,France,"Developer, back-end",,101896.0,,1.0
457,United States of America,"Developer, back-end",20-30,,6.0,0.0
458,Sweden,"Developer, back-end",10-15,,4.0,1.0
459,Czech Republic,"Developer, back-end",10-15,52122.0,4.0,0.0
460,France,"Developer, back-end",5-10,54777.0,3.0,1.0
461,Lebanon,"Developer, mobile",3-5,,2.0,0.0
462,Canada,"Developer, game or graphics",20-30,,6.0,1.0
463,United States of America,Product manager,,,,0.0
464,United Kingdom of Great Britain and Northern Ireland,"Developer, full-stack",,,,0.0
465,Germany,"Developer, embedded applications or devices",15-20,27926.0,5.0,1.0
466,Italy,"Senior Executive (C-Suite, VP, etc.)",20-30,107406.0,6.0,0.0
467,United Kingdom of Great Britain and Northern Ireland,"Developer, embedded applications or devices",,,,0.0
468,Brazil,"Developer, front-end",10-15,37297.0,4.0,1.0
469,Germany,,10-15,85925.0,4.0,1.0
470,United States of America,"Developer, QA or test",20-30,140000.0,6.0,0.0
471,United States of America,,,,,1.0
472,Bulgaria,Student,,,,1.0
473,"Iran, Islamic Republic of...","Developer, full-stack",5-10,,3.0,1.0
474,Mexico,System administrator,,,,0.0
475,Ghana,"Developer, full-stack",,,,0.0
476,Netherlands,Other (please specify):,,,,0.0
477,Italy,Student,,4833.0,,0.0
478,United States of America,"Developer, back-end",30+,200000.0,7.0,0.0
479,Sweden,"Developer, game or graphics",,,,1.0
480,Brazil,"Developer, back-end",5-10,,3.0,1.0
481,"Iran, Islamic Republic of...","Developer, mobile",,,,1.0
482,Canada,"Developer, back-end",3-5,,2.0,1.0
483,Germany,"Developer, back-end",15-20,,5.0,0.0
484,Ukraine,"Developer, front-end",3-5,,2.0,1.0
485,Ukraine,"Developer, front-end",,,,1.0
486,United States of America,"Developer, full-stack",3-5,93000.0,2.0,1.0
487,Germany,System administrator,,,,0.0
488,France,"Developer, full-stack",,,,1.0
489,Russian Federation,"Developer, front-end",10-15,67227.0,4.0,0.0
490,Germany,"Developer, front-end",10-15,144998.0,4.0,1.0
491,Italy,Other (please specify):,,,,1.0
492,France,"Developer, full-stack",15-20,59073.0,5.0,1.0
493,Canada,"Developer, full-stack",15-20,119943.0,5.0,1.0
494,Israel,Engineering manager,20-30,,6.0,0.0
495,United States of America,"Developer, back-end",,,,0.0
496,India,"Developer, mobile",10-15,,4.0,0.0
497,United States of America,Academic researcher,10-15,100000.0,4.0,1.0
498,Dominican Republic,Data or business analyst,10-15,14142.0,4.0,1.0
499,United States of America,"Developer, full-stack",20-30,102000.0,6.0,1.0
500,United States of America,"Developer, back-end",30+,,7.0,1.0
501,Turkey,Engineering manager,,123654.0,,0.0
